Model,MAE,MSE,RMSE,R2
Decision Tree (Base),4.612190677966102,163.86821826271188,12.801102228429858,0.9658917518203468
Decision Tree (Tuned),6.249480958281062,136.41435831001934,11.679655744499465,0.9451448696475289
Random Forest (Base),3.484502711864407,263.5436574192204,16.234027763288456,0.9451448696475289
Random Forest (Tuned),3.4296812182013467,209.1455344324508,14.461864832463716,0.9564675330596948
XGBoost (Base),3.35548351630518,234.05801276089272,15.298954629676262,0.9512821407816481
XGBoost (Tuned),2.982076459763414,139.27272943629157,11.801386759033514,0.9710111645160198
